OBJECTID,AAT_z,Pct_Canopy,Pct_Impervious,Distance_from_water_m,Elevation_m,POINT_X,POINT_Y,NDVI,Albedo,Location
59189,84,24.32,0,0,8,351873.32,252313.84,0.183239564,0.313217416,0
59365,84,100,0,1.11,10.59,351381.2,252313.84,0.380827159,0.396764428,0
56472,85,0,0,0,8,351085.92,252313.84,0.013404406,0.255824923,0
56464,86,100,0,21.04,14.19,350593.8,252313.84,0.462155133,0.444182716,0
59231,84,100,0,8.91,12.2,352463.87,252313.84,0.431751639,0.41542694,0
18571,84,84.48,0,0,10.56,352168.6,252313.84,0.277035654,0.348149091,0
58706,84,14.56,0,0,8,351971.75,252313.84,0.215420097,0.319388472,0
59796,84,65.84,0,0,8.48,351774.9,252313.84,0.284043401,0.361100435,0
39290,84,37.34,0,0,10.6,351676.47,252313.84,0.363056511,0.408598743,0
51961,84,70.09,26.08,20.85,11.06,351479.62,252313.84,0.37497735,0.416339077,0
53055,84.67,0,0,0,8,351184.35,252313.84,0.089603283,0.278690644,0
58127,85,0,0,0,8,350987.5,252313.84,0.002212902,0.252807196,0
41184,85,0,0,0,8,350889.07,252313.84,0.042855017,0.262658261,0
51789,86,14.22,35.46,72.12,11.19,350396.95,252313.84,0.212182656,0.399910435,0
22210,84.95,11.18,73.66,97.31,16.15,352744.58,252316.38,0.236075744,0.414679982,0
57133,86,17.52,57.71,100.87,10.63,350303,252319.81,0.152609944,0.412429385,0
54946,86,4.26,66.52,130.19,16.7,350209.66,252342.55,0.175776154,0.422822498,0
55192,86,0,47.89,147.55,17.46,350133.56,252357.31,0.230344966,0.424480848,0
29745,86.72,4.16,81.24,187.02,18.44,350045.43,252408.64,0.264168054,0.404516049,0
57272,86,34.68,32.36,61.63,13.19,350495.37,252412.27,0.288493663,0.405981317,0
55973,84,31.75,0,0,8.05,351282.77,252412.27,0.207652271,0.319450908,0
46064,85,68.8,0,0,8.58,350790.65,252412.27,0.343425333,0.369890481,0
59667,84,57.48,13.98,66.35,16.63,352660.72,252412.27,0.368235677,0.430360213,0
49780,86,100,0,36.62,16.88,350593.8,252412.27,0.438554853,0.43742042,0
48202,84,0,54.35,35.47,11.03,351578.05,252412.27,0.268387854,0.431175567,0
42719,84,78.94,33.23,36.35,16.29,352562.3,252412.27,0.413123786,0.427578837,0
53056,84,43.72,0,0,8.18,352365.45,252412.27,0.246336639,0.330903716,0
59061,84,88,0,0,8.55,352070.17,252412.27,0.34148708,0.367372334,0
25492,84,59.44,0,0,10.13,351873.32,252412.27,0.336131006,0.384564251,0
55174,84,76.72,0,3.92,9.49,351381.2,252412.27,0.354193807,0.395710096,0
13569,84.91,0,0,0,8,351085.92,252412.27,-0.00073505,0.250604935,0
39008,84,100,0,6.35,11.5,352463.87,252412.27,0.405704796,0.403061956,0
58746,84,79.28,0,0,9.26,352168.6,252412.27,0.245581657,0.332911052,0
55555,84,81.28,0,0,8.34,351971.75,252412.27,0.331880569,0.36727652,0
1731,84,11.87,0,0.79,10.75,351774.9,252412.27,0.358423412,0.419340283,0
53976,84,0,0,17.08,10.86,351676.47,252412.27,0.326775521,0.441172868,0
1792,84,10.52,30.67,33.69,10.26,351479.62,252412.27,0.311381012,0.42062901,0
48747,84.07,0,0,0,8,351184.35,252412.27,0.040489912,0.261962675,0
34098,85,0,0,0,8,350987.5,252412.27,0.006015684,0.250732917,0
4127,85,0.08,0,0,8,350889.07,252412.27,0.125793934,0.284654517,0
24875,85.63,100,0,9.59,15.27,350692.22,252412.27,0.481915832,0.448410325,0
59249,86,0,32.97,86.94,9.59,350396.95,252412.27,0.242104739,0.422607362,0
53666,86,59.25,7.77,111.95,12.76,350298.52,252412.27,0.229942754,0.436917543,0
48827,86,15.43,55.34,138.95,17.16,350200.09,252412.27,0.271482497,0.44099506,0
52374,86,34.42,41.58,166.98,18.44,350102.96,252413.95,0.303330988,0.424719528,0
59092,84.6,24.95,57.95,96.35,16.74,352755.08,252414.14,0.301447898,0.419576764,0
45408,85.01,40.14,34.61,126.35,15.88,352809.06,252458.22,0.265823364,0.411848612,0
59319,86,7.91,50.6,74.95,11.15,350495.37,252510.69,0.246184587,0.406163,0
41761,84.04,23.9,75,96.94,17.5,352759.15,252510.69,0.304902256,0.417952836,0
44150,85,37.56,0,0,8.09,350889.07,252510.69,0.270866036,0.346026979,0
54843,84,23.16,0,0,8,351282.77,252510.69,0.199071527,0.322912261,0
13545,86,99.19,1.52,45.91,16.71,350593.8,252510.69,0.417027563,0.429246202,0
50224,84,75.75,0.33,67.03,17.52,352660.72,252510.69,0.375204742,0.425282307,0
59878,85,100,0,0,13.3,350790.65,252510.69,0.45892325,0.432121381,0
18739,84,0,48.13,59.11,10.4,351578.05,252510.69,0.205253512,0.445824936,0
39696,84,72.67,34.59,37.23,17.64,352562.3,252510.69,0.388350695,0.418841355,0
51780,84,69.52,0,0,8.61,352365.45,252510.69,0.27685371,0.343859866,0
58689,84,98.64,0,0,9.27,352070.17,252510.69,0.360667795,0.377488472,0
40309,84,6.93,0,17.1,11.51,351873.32,252510.69,0.382916778,0.421671532,0
55179,84,23.03,0,3.45,8.49,351381.2,252510.69,0.370245427,0.410899334,0
12189,84.26,0,0,0,8,351085.92,252510.69,0.002293635,0.248810705,0
21581,84,99.99,0,7.47,13.93,352463.87,252510.69,0.395405263,0.404480696,0
47397,84,20.3,0,0,8.01,352168.6,252510.69,0.180559129,0.310000963,0
18373,84,99.12,0,0,10.98,351971.75,252510.69,0.39313367,0.402931236,0
53761,83.83,0,0,29.45,11,351774.9,252510.69,0.365212172,0.452476703,0
49455,83.74,0,0,40.21,11,351676.47,252510.69,0.259999871,0.468684696,0
50527,84,0.63,45.55,33.45,9.52,351479.62,252510.69,0.300558716,0.426962301,0
37747,84,0,0,0,8,351184.35,252510.69,0.021056898,0.2530949,0
52931,84.96,0,0,0,8,350987.5,252510.69,0.055298835,0.263476018,0
53325,85.21,100,0,19.24,17.98,350692.22,252510.69,0.499483675,0.460709743,0
54572,86.01,6.47,14.75,103.41,10.46,350396.95,252510.69,0.24341169,0.42917233,0
56500,86,8.27,46.09,128.57,15.12,350298.52,252510.69,0.290422857,0.428703465,0
8891,86,82.12,4.9,153.18,16.4,350200.09,252510.69,0.334345013,0.412850417,0
50749,86,95.73,10.57,178.99,16.62,350103.29,252510.99,0.362838954,0.394780487,0
23937,84.81,10.58,77.75,126.89,16.71,352816.09,252524.38,0.244299248,0.411304198,0
47797,86.75,82.31,33.71,205.94,16.93,350013.35,252548.16,0.281878531,0.381859615,0
41603,87.08,61.51,55.38,219.59,16.97,349944.1,252557.27,0.239407554,0.376014486,0
59591,84,57.11,68.27,101.41,18.2,352759.15,252609.12,0.311548531,0.415887386,0
29094,85.8,79.52,24.97,60.92,14.26,350593.8,252609.12,0.363510251,0.416939072,0
53434,84.99,88.97,0,0,8.77,350889.07,252609.12,0.353715509,0.382213146,0
59086,84,42.66,0,0,8,351282.77,252609.12,0.276144326,0.35493616,0
28915,83.82,64.4,1.95,58.79,10.64,351578.05,252609.12,0.290263027,0.439026318,0
56807,84,86.51,18.05,43.45,18.7,352562.3,252609.12,0.371630847,0.409624465,0
43736,84,94.58,0,0,10.89,352365.45,252609.12,0.327493101,0.366932042,0
56819,84,70.56,0,0,9.27,352070.17,252609.12,0.300662637,0.356910862,0
46014,84,52.03,0,35.47,11.82,351873.32,252609.12,0.408240765,0.428884439,0
39849,84,3.38,0,7.65,8.29,351381.2,252609.12,0.376289219,0.419744588,0
55513,84,0,0,0,8,351085.92,252609.12,0.013725052,0.254338011,0
58324,85,95.78,0,6.57,16.89,350790.65,252609.12,0.469293743,0.447107814,0
47387,84,92.24,0,72.37,17.91,352660.72,252609.12,0.400531739,0.420120843,0
39095,84,100,20.7,14.98,18.15,352463.87,252609.12,0.37605539,0.408403762,0
56794,84,100,0,6.49,13.41,351971.75,252609.12,0.403704196,0.407607816,0
54671,83.57,1.13,0,58.23,11,351774.9,252609.12,0.393482774,0.455990061,0
55756,83.14,7.81,0,62.55,10.99,351676.47,252609.12,0.31364578,0.46332676,0
55913,84,60.07,50.31,36.57,9.16,351479.62,252609.12,0.332199037,0.417477824,0
12956,84,0,0,0,8,351184.35,252609.12,0.071831904,0.267863199,0
56365,84.26,0.23,0,0,8,350987.5,252609.12,0.130645379,0.288630817,0
51429,85,100,0,35.13,17.96,350692.22,252609.12,0.46300298,0.444342271,0
45391,86,0.83,41.44,85.78,10.42,350495.37,252609.12,0.207424164,0.404080413,0
54810,86.46,22.57,6.18,112.64,12.32,350396.95,252609.12,0.212637693,0.412609465,0
11951,86.62,51.15,38.13,140.78,14.51,350298.52,252609.12,0.290557295,0.404495224,0
53606,86,62.94,28.99,169.55,12.41,350200.09,252609.12,0.296951413,0.395447016,0
59176,86.09,45.99,79.05,194.93,12.24,350101.67,252609.12,0.270738989,0.390331857,0
56217,86.9,13.74,69.75,219.93,12.15,350003.24,252609.12,0.227846697,0.376498103,0
38478,87.32,30.7,71.27,246.06,12.57,349907.9,252613.46,0.187923312,0.363606624,0
50892,84.21,4.58,49.04,130.76,18.05,352825.64,252614.24,0.244544581,0.41085925,0
16592,87.67,57.53,0,252.85,12.73,349810.72,252631.5,0.174023509,0.365583301,0
25732,87,85.84,24.86,259.01,13.58,349716.51,252644.37,0.175925612,0.362215824,0
34402,87.01,20.66,90.25,267.87,14.25,349643.65,252654.24,0.160249591,0.355549119,0
59040,85.69,51.94,45.91,72.97,11.52,350593.8,252707.54,0.295297801,0.406578109,0
59952,84,71.69,46.86,109.83,18.42,352759.15,252707.54,0.316441178,0.409017503,0
53537,84,43.51,0,0,8.08,350987.5,252707.54,0.277481884,0.338945687,0
58649,84,96.89,0,0,8.82,351282.77,252707.54,0.316376477,0.370668881,0
42752,85,100,0,46.18,15.63,350692.22,252707.54,0.388315111,0.418025665,0
59011,84.58,99.07,0,0,11.82,350889.07,252707.54,0.383146048,0.403539352,0
7934,84,100,0,28.82,10.26,351578.05,252707.54,0.373432666,0.408965424,0
56704,84,85.2,0,52.94,19,352562.3,252707.54,0.370074958,0.412395261,0
56219,84,100,0,0,12.7,352365.45,252707.54,0.342708528,0.376681015,0
18687,84,39.54,0,0,8.03,352070.17,252707.54,0.222629085,0.32809224,0
38272,84,98.6,0,28.23,11.12,351873.32,252707.54,0.448153406,0.434824228,0
58270,84,29.32,10.32,17.46,8.99,351381.2,252707.54,0.34170565,0.40886838,0
15114,84,0,0,0,8,351085.92,252707.54,0.070520528,0.272728763,0
4001,85,67.82,0,21.23,18.77,350790.65,252707.54,0.405209541,0.433281772,0
57269,84,98.4,0,81.6,18.03,352660.72,252707.54,0.399213165,0.417285822,0
40622,84,68.52,36.22,23.49,19,352463.87,252707.54,0.358938187,0.410485975,0
49044,84,100,0,0,12.83,351971.75,252707.54,0.410225511,0.407024398,0
56293,84,42.53,0,45.4,10.55,351774.9,252707.54,0.446688801,0.446123071,0
34142,84,88.25,0,34.3,11.73,351676.47,252707.54,0.420708507,0.437591113,0
